episode_num,cumulative_reward,mean_reward,cumulative_reward_energy_term,mean_reward_energy_term,cumulative_reward_comfort_term,mean_reward_comfort_term,cumulative_abs_energy_penalty,mean_abs_energy_penalty,cumulative_abs_comfort_penalty,mean_abs_comfort_penalty,cumulative_power_demand,mean_power_demand,cumulative_temperature_violation,mean_temperature_violation,comfort_violation_time (%),length (timesteps),time_elapsed (hours)
1,-16549.58046742004,-0.4723053786364167,-3648.509241989338,-0.10412412220289206,-12901.071225430705,-0.3681812564335247,-72970184.83978675,-2082.4824440578413,-25802.14245086141,-0.7363625128670493,72970184.83978675,2082.4824440578413,25802.14245086141,0.7363625128670493,52.544162552438564,35041,8760.03125
2,-16509.255954668795,-0.4711545649163469,-3789.7444004975728,-0.1081548059502732,-12719.511554171224,-0.3629997589660737,-75794888.00995146,-2163.096119005464,-25439.023108342448,-0.7259995179321475,75794888.00995146,2163.096119005464,25439.023108342448,0.7259995179321475,51.59099340772239,35041,8760.041666666666
3,-16481.57089307814,-0.4703644661266593,-3747.049607717881,-0.10693634725222263,-12734.521285360257,-0.36342811887443655,-74940992.15435763,-2138.726945044453,-25469.042570720514,-0.7268562377488731,74940992.15435763,2138.726945044453,25469.042570720514,0.7268562377488731,51.91632658885305,35041,8760.03125
4,-16580.042117485813,-0.4731747179647778,-3816.2257188879125,-0.10891055133812536,-12763.816398597897,-0.36426416662665234,-76324514.37775822,-2178.211026762506,-25527.632797195794,-0.7285283332533047,76324514.37775822,2178.211026762506,25527.632797195794,0.7285283332533047,51.790759396135954,35041,8760.035714285714
5,-16454.41908700394,-0.46958958581632243,-3798.7990223957386,-0.10841321410946743,-12655.620064608203,-0.3611763717068551,-75975980.44791478,-2168.2642821893487,-25311.240129216407,-0.7223527434137103,75975980.44791478,2168.2642821893487,25311.240129216407,0.7223527434137103,51.62809280557062,35041,8760.03125
6,-16552.742269497598,-0.4723956127139725,-3718.1014299079825,-0.10611020062522782,-12834.640839589614,-0.3662854120887447,-74362028.59815966,-2122.2040125045564,-25669.28167917923,-0.7325708241774894,74362028.59815966,2122.2040125045564,25669.28167917923,0.7325708241774894,52.39291116121115,35041,8760.0625
7,-16616.588257445503,-0.47421770141111597,-3719.3710987761565,-0.10614643546735607,-12897.217158669346,-0.3680712659437599,-74387421.97552313,-2122.928709347121,-25794.43431733869,-0.7361425318875198,74387421.97552313,2122.928709347121,25794.43431733869,0.7361425318875198,52.221683171142374,35041,8760.041666666666
8,-16403.031335352778,-0.468123040392488,-3746.650247024102,-0.10692494997214903,-12656.381088328677,-0.36119809042033896,-74933004.94048204,-2138.4989994429807,-25312.762176657354,-0.7223961808406779,74933004.94048204,2138.4989994429807,25312.762176657354,0.7223961808406779,51.659484603749895,35041,8760.0625
9,-16374.948436280847,-0.46732158779340316,-3817.8279578575903,-0.10895627733611844,-12557.120478423258,-0.35836531045728476,-76356559.1571518,-2179.1255467223687,-25114.240956846515,-0.7167306209145695,76356559.1571518,2179.1255467223687,25114.240956846515,0.7167306209145695,51.46542621500528,35041,8760.03125
10,-16568.927672975162,-0.4728575249136747,-3760.2875363552284,-0.10731414201927021,-12808.640136619932,-0.36554338289440447,-75205750.72710457,-2146.2828403854046,-25617.280273239863,-0.7310867657888089,75205750.72710457,2146.2828403854046,25617.280273239863,0.7310867657888089,51.53962501070175,35041,8760.041666666666
