episode_num,cumulative_reward,mean_reward,cumulative_reward_energy_term,mean_reward_energy_term,cumulative_reward_comfort_term,mean_reward_comfort_term,cumulative_abs_energy_penalty,mean_abs_energy_penalty,cumulative_abs_comfort_penalty,mean_abs_comfort_penalty,cumulative_power_demand,mean_power_demand,cumulative_temperature_violation,mean_temperature_violation,comfort_violation_time (%),length (timesteps),time_elapsed (hours)
1,-15388.152029028446,-0.4391595898695333,-2297.735704801036,-0.0655746491096186,-13090.41632422741,-0.37358494075991466,-45954714.09602071,-1311.492982192372,-26180.83264845482,-0.7471698815198293,45954714.09602071,1311.492982192372,26180.83264845482,0.7471698815198293,61.139807653891154,35041,8760.083333333334
2,-15486.301685320455,-0.4419606645354011,-2376.814554222139,-0.06783146558853137,-13109.487131098318,-0.3741291989468698,-47536291.08444278,-1356.6293117706273,-26218.974262196636,-0.7482583978937396,47536291.08444278,1356.6293117706273,26218.974262196636,0.7482583978937396,60.65180788219514,35041,8760.03125
3,-15436.803903981945,-0.4405480566204893,-2383.547330871936,-0.06802361104086575,-13053.25657311001,-0.37252444557962355,-47670946.61743872,-1360.472220817315,-26106.51314622002,-0.7450488911592471,47670946.61743872,1360.472220817315,26106.51314622002,0.7450488911592471,60.71744527838817,35041,8760.0
4,-15691.744655129492,-0.4478237629888554,-2375.145906916616,-0.06778384437547419,-13316.598748212873,-0.3800399186133811,-47502918.138332315,-1355.6768875094838,-26633.197496425746,-0.7600798372267622,47502918.138332315,1355.6768875094838,26633.197496425746,0.7600798372267622,61.23969064809794,35041,8760.0
5,-15529.429374397881,-0.4431914775798482,-2433.120303161296,-0.06943836481624703,-13096.309071236585,-0.3737531127636012,-48662406.06322592,-1388.7672963249406,-26192.61814247317,-0.7475062255272024,48662406.06322592,1388.7672963249406,26192.61814247317,0.7475062255272024,60.85442767044319,35041,8760.0
6,-15416.448364906577,-0.43996713370167173,-2365.2606513917885,-0.06750173091871543,-13051.187713514792,-0.37246540278295637,-47305213.02783578,-1350.0346183743088,-26102.375427029583,-0.7449308055659127,47305213.02783578,1350.0346183743088,26102.375427029583,0.7449308055659127,60.98570246282926,35041,8760.0
7,-15505.150783266741,-0.4424985954128636,-2348.086697848882,-0.06701160667376947,-13157.064085417862,-0.37548698873909425,-46961733.95697765,-1340.2321334753897,-26314.128170835724,-0.7509739774781885,46961733.95697765,1340.2321334753897,26314.128170835724,0.7509739774781885,60.75169087640193,35041,8760.0625
8,-15460.975081070752,-0.4412378733182292,-2364.0790805519146,-0.06746801028972359,-13096.896000518838,-0.3737698630285057,-47281581.61103831,-1349.3602057944724,-26193.792001037677,-0.7475397260570114,47281581.61103831,1349.3602057944724,26193.792001037677,0.7475397260570114,60.83159727176736,35041,8760.0
9,-15568.896905632013,-0.44431783406484054,-2348.300080691475,-0.06701769636676584,-13220.596824940538,-0.3773001376980747,-46966001.6138295,-1340.3539273353167,-26441.193649881076,-0.7546002753961494,46966001.6138295,1340.3539273353167,26441.193649881076,0.7546002753961494,60.87155046945008,35041,8760.125
10,-15544.24283624707,-0.44361423619426565,-2304.6537135496665,-0.06577208086614345,-13239.589122697404,-0.37784215532812226,-46093074.27099333,-1315.441617322869,-26479.178245394807,-0.7556843106562445,46093074.27099333,1315.441617322869,26479.178245394807,0.7556843106562445,61.0370708598499,35041,8760.0625
