episode_num,cumulative_reward,mean_reward,cumulative_reward_energy_term,mean_reward_energy_term,cumulative_reward_comfort_term,mean_reward_comfort_term,cumulative_abs_energy_penalty,mean_abs_energy_penalty,cumulative_abs_comfort_penalty,mean_abs_comfort_penalty,cumulative_power_demand,mean_power_demand,cumulative_temperature_violation,mean_temperature_violation,comfort_violation_time (%),length (timesteps),time_elapsed (hours)
1,-9895.256583480763,-0.28239887509933687,-3996.5204626666487,-0.11405594927701623,-5898.736120814115,-0.16834292582232063,-79930409.25333296,-2281.118985540324,-11797.47224162823,-0.33668585164464127,79930409.25333296,2281.118985540324,11797.47224162823,0.33668585164464127,30.253132045318342,35041,8760.0
2,-9962.884071683795,-0.2843288833243092,-4059.54546003873,-0.11585460787781764,-5903.338611645066,-0.1684742754464916,-81190909.20077461,-2317.092157556353,-11806.677223290131,-0.3369485508929832,81190909.20077461,2317.092157556353,11806.677223290131,0.3369485508929832,30.655517821979966,35041,8760.05
3,-10033.225413520235,-0.28633634171005234,-4049.7826766506514,-0.11557598963044097,-5983.442736869582,-0.17076035207961138,-80995653.53301303,-2311.5197926088194,-11966.885473739165,-0.34152070415922275,80995653.53301303,2311.5197926088194,11966.885473739165,0.34152070415922275,30.5813190262835,35041,8760.0
4,-9981.340277063084,-0.2848556015143574,-4049.52509069814,-0.1155686384331661,-5931.815186364943,-0.1692869630811913,-80990501.8139628,-2311.372768663322,-11863.630372729885,-0.3385739261623826,80990501.8139628,2311.372768663322,11863.630372729885,0.3385739261623826,30.701178619331642,35041,8760.0
5,-9954.612975298525,-0.2840928360530401,-4065.7991937042484,-0.11603308201210755,-5888.8137815942755,-0.1680597540409325,-81315983.87408495,-2320.6616402421505,-11777.627563188551,-0.336119508081865,81315983.87408495,2320.6616402421505,11777.627563188551,0.336119508081865,30.598441825290372,35041,8760.125
6,-10033.279821618826,-0.28633789445259206,-4069.1949883461034,-0.11612999395964907,-5964.084833272723,-0.17020790049294302,-81383899.76692206,-2322.599879192981,-11928.169666545446,-0.34041580098588603,81383899.76692206,2322.599879192981,11928.169666545446,0.34041580098588603,30.62697982363517,35041,8760.0
7,-9946.604567458127,-0.28386428560097393,-4060.3730844072743,-0.11587822729472814,-5886.231483050852,-0.16798605830624577,-81207461.68814547,-2317.564545894563,-11772.462966101704,-0.33597211661249154,81207461.68814547,2317.564545894563,11772.462966101704,0.33597211661249154,30.378699238035445,35041,8760.0
8,-9891.60003039855,-0.2822945214154837,-4062.202115596554,-0.11593042567341763,-5829.397914801997,-0.16636409574206612,-81244042.31193107,-2318.6085134683526,-11658.795829603994,-0.33272819148413224,81244042.31193107,2318.6085134683526,11658.795829603994,0.33272819148413224,30.452898033731913,35041,8760.125
9,-10010.27261551821,-0.2856812961049717,-4055.8815459832913,-0.11575004412052772,-5954.391069534917,-0.16993125198444398,-81117630.91966583,-2315.0008824105544,-11908.782139069834,-0.33986250396888795,81117630.91966583,2315.0008824105544,11908.782139069834,0.33986250396888795,30.75254701635227,35041,8760.041666666666
10,-10014.751882152763,-0.28580912905687106,-4055.112744815741,-0.11572810344793781,-5959.63913733702,-0.1700810256089332,-81102254.89631481,-2314.5620689587563,-11919.27827467404,-0.3401620512178664,81102254.89631481,2314.5620689587563,11919.27827467404,0.3401620512178664,30.77823121486259,35041,8760.0
