episode_num,cumulative_reward,mean_reward,cumulative_reward_energy_term,mean_reward_energy_term,cumulative_reward_comfort_term,mean_reward_comfort_term,cumulative_abs_energy_penalty,mean_abs_energy_penalty,cumulative_abs_comfort_penalty,mean_abs_comfort_penalty,cumulative_power_demand,mean_power_demand,cumulative_temperature_violation,mean_temperature_violation,comfort_violation_time (%),length (timesteps),time_elapsed (hours)
1,-14471.94457102232,-0.4130121167529201,-2752.6880002601406,-0.07855844749600858,-11719.25657076218,-0.3344536692569115,-55053760.005202815,-1571.1689499201716,-23438.51314152436,-0.668907338513823,55053760.005202815,1571.1689499201716,23438.51314152436,0.668907338513823,53.503039296823715,35041,8760.041666666666
2,-14655.479119210595,-0.41824997486331605,-2806.8264635520745,-0.0801034949643857,-11848.652655658523,-0.33814647989893043,-56136529.271041475,-1602.0698992877133,-23697.305311317046,-0.6762929597978609,56136529.271041475,1602.0698992877133,23697.305311317046,0.6762929597978609,53.554407693844354,35041,8760.041666666666
3,-14651.202660681818,-0.41812792981397884,-2733.604687251671,-0.0780138323987349,-11917.597973430147,-0.34011409741524395,-54672093.74503341,-1560.2766479746979,-23835.195946860294,-0.6802281948304879,54672093.74503341,1560.2766479746979,23835.195946860294,0.6802281948304879,54.03384606603693,35041,8760.035714285714
4,-14830.407028274276,-0.42324220971102383,-2782.4865077127265,-0.07940886152148192,-12047.920520561547,-0.34383334818954187,-55649730.15425453,-1588.1772304296385,-24095.841041123094,-0.6876666963790837,55649730.15425453,1588.1772304296385,24095.841041123094,0.6876666963790837,54.05667646471276,35041,8760.03125
5,-14589.55589561664,-0.41636860432695894,-2839.956755808124,-0.08104899417260628,-11749.599139808517,-0.33531961015435263,-56799135.116162464,-1620.979883452125,-23499.198279617034,-0.6706392203087053,56799135.116162464,1620.979883452125,23499.198279617034,0.6706392203087053,53.79127308010616,35041,8760.0625
6,-14575.47086163503,-0.4159666341790819,-2698.7575811996144,-0.07701933736300269,-11876.713280435419,-0.3389472968160793,-53975151.623992294,-1540.386747260054,-23753.426560870837,-0.6778945936321586,53975151.623992294,1540.386747260054,23753.426560870837,0.6778945936321586,54.342056448160726,35041,8760.035714285714
7,-14634.980188291087,-0.41766495971150364,-2726.469002445014,-0.07781018842594219,-11908.511185846071,-0.3398547712855614,-54529380.048900284,-1556.2037685188436,-23817.022371692143,-0.6797095425711228,54529380.048900284,1556.2037685188436,23817.022371692143,0.6797095425711228,54.24217345395393,35041,8760.083333333334
8,-14472.014075165705,-0.413014100318656,-2774.8139548640984,-0.07918989597214893,-11697.200120301608,-0.33382420434650706,-55496279.09728198,-1583.7979194429788,-23394.400240603216,-0.6676484086930141,55496279.09728198,1583.7979194429788,23394.400240603216,0.6676484086930141,53.47164749864445,35041,8760.041666666666
9,-14738.912075315411,-0.4206310523777229,-2709.974035958635,-0.07733944166548616,-12028.938039356777,-0.3432916107122368,-54199480.719172694,-1546.788833309723,-24057.876078713554,-0.6865832214244736,54199480.719172694,1546.788833309723,24057.876078713554,0.6865832214244736,54.42767044319512,35041,8760.035714285714
10,-14567.82311272335,-0.41574837650466184,-2786.281223866424,-0.079517158215366,-11781.541888856926,-0.3362312182892958,-55725624.47732848,-1590.3431643073195,-23563.08377771385,-0.6724624365785916,55725624.47732848,1590.3431643073195,23563.08377771385,0.6724624365785916,53.6314602893753,35041,8760.035714285714
