episode_num,cumulative_reward,mean_reward,cumulative_reward_energy_term,mean_reward_energy_term,cumulative_reward_comfort_term,mean_reward_comfort_term,cumulative_abs_energy_penalty,mean_abs_energy_penalty,cumulative_abs_comfort_penalty,mean_abs_comfort_penalty,cumulative_power_demand,mean_power_demand,cumulative_temperature_violation,mean_temperature_violation,comfort_violation_time (%),length (timesteps),time_elapsed (hours)
1,-10730.620577935231,-0.3062391717447269,-3788.7254549389368,-0.10812572645373678,-6941.895122996293,-0.1981134452909901,-75774509.09877875,-2162.514529074736,-13883.790245992586,-0.3962268905819802,75774509.09877875,2162.514529074736,13883.790245992586,0.3962268905819802,34.75072058445821,35041,8760.0625
2,-10910.472311927708,-0.31137192671026565,-3857.236214317053,-0.11008094218941361,-7053.236097610656,-0.20129098452085203,-77144724.28634104,-2201.6188437882715,-14106.472195221311,-0.40258196904170407,77144724.28634104,2201.6188437882715,14106.472195221311,0.40258196904170407,35.21588995747838,35041,8760.041666666666
3,-10958.988852949771,-0.3127565311914889,-3846.2299133678534,-0.10976683542716477,-7112.758939581919,-0.20298969576432416,-76924598.26735707,-2195.336708543295,-14225.517879163837,-0.4059793915286483,76924598.26735707,2195.336708543295,14225.517879163837,0.4059793915286483,35.090322764761275,35041,8760.05
4,-10889.94545767628,-0.3107861146597112,-3829.0796654625246,-0.10927738771297159,-7060.865792213756,-0.20150872694673963,-76581593.3092505,-2185.547754259432,-14121.731584427513,-0.40301745389347926,76581593.3092505,2185.547754259432,14121.731584427513,0.40301745389347926,34.92480237436146,35041,8760.035714285714
5,-10899.145613236136,-0.31104867617683035,-3854.257750283736,-0.10999594036197877,-7044.8878629524,-0.20105273581485159,-77085155.0056747,-2199.918807239575,-14089.7757259048,-0.40210547162970317,77085155.0056747,2199.918807239575,14089.7757259048,0.40210547162970317,34.92480237436146,35041,8760.041666666666
6,-10951.931020120524,-0.31255510902170447,-3853.5751542594885,-0.10997645988183471,-7098.355865861035,-0.20257864913986973,-77071503.08518976,-2199.529197636694,-14196.71173172207,-0.40515729827973945,77071503.08518976,2199.529197636694,14196.71173172207,0.40515729827973945,34.97902457121658,35041,8760.0625
7,-10914.199523377129,-0.3114782969000322,-3835.5831546880236,-0.1094629895744299,-7078.616368689107,-0.20201530732560236,-76711663.09376046,-2189.259791488598,-14157.232737378214,-0.4040306146512047,76711663.09376046,2189.259791488598,14157.232737378214,0.4040306146512047,35.25298935532662,35041,8760.03125
8,-10896.901611177289,-0.3109846350221829,-3841.530844175387,-0.10963272957121538,-7055.370767001901,-0.2013519054509675,-76830616.88350773,-2192.6545914243075,-14110.741534003802,-0.402703810901935,76830616.88350773,2192.6545914243075,14110.741534003802,0.402703810901935,34.779258582803,35041,8760.05
9,-10924.29184259244,-0.31176631970868834,-3846.2094902820218,-0.10976625257654171,-7078.082352310416,-0.20200006713214658,-76924189.80564043,-2195.325051530834,-14156.164704620833,-0.40400013426429315,76924189.80564043,2195.325051530834,14156.164704620833,0.40400013426429315,35.05607716674752,35041,8760.125
10,-10947.962290930102,-0.31244184620234305,-3842.5811559973695,-0.10966270422366922,-7105.38113493273,-0.2027791419786738,-76851623.11994739,-2193.2540844733844,-14210.76226986546,-0.4055582839573476,76851623.11994739,2193.2540844733844,14210.76226986546,0.4055582839573476,35.17022916012671,35041,8760.03125
