episode_num,cumulative_reward,mean_reward,cumulative_reward_energy_term,mean_reward_energy_term,cumulative_reward_comfort_term,mean_reward_comfort_term,cumulative_abs_energy_penalty,mean_abs_energy_penalty,cumulative_abs_comfort_penalty,mean_abs_comfort_penalty,cumulative_power_demand,mean_power_demand,cumulative_temperature_violation,mean_temperature_violation,comfort_violation_time (%),length (timesteps),time_elapsed (hours)
1,-13293.039399360676,-0.37936756276714256,-3238.1754230286247,-0.09241368216405892,-10054.863976332052,-0.2869538806030837,-64763508.4605725,-1848.2736432811787,-20109.727952664103,-0.5739077612061674,64763508.4605725,1848.2736432811787,20109.727952664103,0.5739077612061674,44.49644701920607,35041,8760.0
2,-13289.1934568635,-0.3792578041342323,-3351.8006150515735,-0.09565641024690563,-9937.392841811927,-0.2836013938873267,-67036012.30103148,-1913.128204938113,-19874.785683623853,-0.5672027877746534,67036012.30103148,1913.128204938113,19874.785683623853,0.5672027877746534,44.30524243029594,35041,8760.0
3,-13248.21029611131,-0.3780881933821721,-3314.292885846399,-0.09458598418511412,-9933.91741026491,-0.28350220919705793,-66285857.716927975,-1891.7196837022825,-19867.83482052982,-0.5670044183941159,66285857.716927975,1891.7196837022825,19867.83482052982,0.5670044183941159,44.72189720612996,35041,8760.083333333334
4,-13306.533492127497,-0.37975266815432357,-3418.295561721625,-0.0975540970810966,-9888.23793040587,-0.2821985710732269,-68365911.23443249,-1951.0819416219317,-19776.47586081174,-0.5643971421464538,68365911.23443249,1951.0819416219317,19776.47586081174,0.5643971421464538,44.630575611426615,35041,8760.0625
5,-13369.660872173616,-0.3815542486350918,-3346.748729721768,-0.09551223543726507,-10022.912142451849,-0.28604201319782674,-66934974.59443536,-1910.2447087453013,-20045.824284903698,-0.5720840263956535,66934974.59443536,1910.2447087453013,20045.824284903698,0.5720840263956535,44.719043406295484,35041,8760.0
6,-13244.261607140294,-0.3779755024868805,-3292.0556985295407,-0.0939513612594047,-9952.205908610755,-0.2840241412274759,-65841113.97059082,-1879.0272251880942,-19904.41181722151,-0.5680482824549518,65841113.97059082,1879.0272251880942,19904.41181722151,0.5680482824549518,44.847464398847066,35041,8760.083333333334
7,-13350.47378562812,-0.38100667196427285,-3285.2928543536564,-0.09375835771557238,-10065.180931274466,-0.2872483142487005,-65705857.08707311,-1875.1671543114471,-20130.361862548933,-0.574496628497401,65705857.08707311,1875.1671543114471,20130.361862548933,0.574496628497401,44.90168659570218,35041,8760.0
8,-13308.882345326676,-0.3798197016360353,-3327.681608298735,-0.09496808242861686,-9981.20073702794,-0.2848516192074184,-66553632.16597469,-1899.3616485723371,-19962.40147405588,-0.5697032384148368,66553632.16597469,1899.3616485723371,19962.40147405588,0.5697032384148368,44.38514882566137,35041,8760.0
9,-13253.394002359055,-0.3782361302043109,-3324.739906172127,-0.09488412974235523,-9928.654096186925,-0.28335200046195563,-66494798.123442546,-1897.6825948471046,-19857.30819237385,-0.5667040009239113,66494798.123442546,1897.6825948471046,19857.30819237385,0.5667040009239113,44.79038840215747,35041,8760.03125
10,-13251.213658097071,-0.37817390576761045,-3344.197739680463,-0.09543943321005888,-9907.01591841661,-0.28273447255755163,-66883954.79360927,-1908.7886642011779,-19814.03183683322,-0.5654689451151033,66883954.79360927,1908.7886642011779,19814.03183683322,0.5654689451151033,44.22248223509603,35041,8760.0625
