episode_num,cumulative_reward,mean_reward,cumulative_reward_energy_term,mean_reward_energy_term,cumulative_reward_comfort_term,mean_reward_comfort_term,cumulative_abs_energy_penalty,mean_abs_energy_penalty,cumulative_abs_comfort_penalty,mean_abs_comfort_penalty,cumulative_power_demand,mean_power_demand,cumulative_temperature_violation,mean_temperature_violation,comfort_violation_time (%),length (timesteps),time_elapsed (hours)
1,-459801.4532993762,-13.304440199634728,0.0,0.0,-459801.4532993762,-13.304440199634728,-24982163.04998753,-722.8635141778799,-459801.4532993762,-13.304440199634728,24982163.04998753,722.8635141778799,101214.58807659149,2.9286628494384113,94.4677526691936,34561,2880.0
2,-480040.3620520298,-13.890056772338825,0.0,0.0,-480040.3620520298,-13.890056772338825,-25303140.431820426,-732.1510541614707,-480040.3620520298,-13.890056772338825,25303140.431820426,732.1510541614707,104315.14312171936,3.0183779838460465,94.82653858395301,34561,2880.0
3,-450397.2174919695,-13.032326895022265,0.0,0.0,-450397.2174919695,-13.032326895022265,-25209162.190040037,-729.431776332177,-450397.2174919695,-13.032326895022265,25209162.190040037,729.431776332177,100553.38449382782,2.9095308013260364,93.99901623216921,34561,2880.0
4,-474484.7743813148,-13.729304814274155,0.0,0.0,-474484.7743813148,-13.729304814274155,-25530312.18174298,-738.7243108143224,-474484.7743813148,-13.729304814274155,25530312.18174298,738.7243108143224,103583.61735725403,2.997211150383508,94.21891727669916,34561,2880.0
5,-470537.0138155609,-13.615075631237294,0.0,0.0,-470537.0138155609,-13.615075631237294,-25277603.15990077,-731.4121284693509,-470537.0138155609,-13.615075631237294,25277603.15990077,731.4121284693509,102165.11899471283,2.9561666375784963,94.81496484476722,34561,2880.0
6,-452544.1522991708,-13.094448851249155,0.0,0.0,-452544.1522991708,-13.094448851249155,-25128334.78458421,-727.0930203872746,-452544.1522991708,-13.094448851249155,25128334.78458421,727.0930203872746,102557.5095911026,2.9675205321499596,93.92957379705449,34561,2880.0
7,-514366.05764606304,-14.883277130962473,0.0,0.0,-514366.05764606304,-14.883277130962473,-24846688.609228995,-718.9435361466723,-514366.05764606304,-14.883277130962473,24846688.609228995,718.9435361466723,107009.23201274872,3.096331944813331,94.06845866728392,34561,2880.0
8,-471282.0023988226,-13.63663201385482,0.0,0.0,-471282.0023988226,-13.63663201385482,-25201114.93307154,-729.1989274615607,-471282.0023988226,-13.63663201385482,25201114.93307154,729.1989274615607,104420.30180740356,3.0214207698901494,94.20445010271693,34561,2880.0
9,-457848.85484524193,-13.247941401772048,0.0,0.0,-457848.85484524193,-13.247941401772048,-25045923.664596077,-724.7084393690994,-457848.85484524193,-13.247941401772048,25045923.664596077,724.7084393690994,99775.53309345245,2.8870235270096196,93.58814849107375,34561,2880.0
10,-471620.78533020447,-13.646434760711935,0.0,0.0,-471620.78533020447,-13.646434760711935,-24939663.655502427,-721.6337863281952,-471620.78533020447,-13.646434760711935,24939663.655502427,721.6337863281952,102920.00401306152,2.9780093753779378,93.90353288388647,34561,2880.0
