episode_num,cumulative_reward,mean_reward,cumulative_reward_energy_term,mean_reward_energy_term,cumulative_reward_comfort_term,mean_reward_comfort_term,cumulative_abs_energy_penalty,mean_abs_energy_penalty,cumulative_abs_comfort_penalty,mean_abs_comfort_penalty,cumulative_power_demand,mean_power_demand,cumulative_temperature_violation,mean_temperature_violation,comfort_violation_time (%),length (timesteps),time_elapsed (hours)
1,-150761.42047178443,-4.362309620132651,0.0,0.0,-150761.42047178443,-4.362309620132651,-22113916.418178752,-639.8702667297092,-150761.42047178443,-4.362309620132651,22113916.418178752,639.8702667297092,33676.644956588745,0.974439958234628,62.58499464714563,34561,2880.0
2,-157626.63976671893,-4.5609560117684875,0.0,0.0,-157626.63976671893,-4.5609560117684875,-22508798.674731642,-651.2962579494109,-157626.63976671893,-4.5609560117684875,22508798.674731642,651.2962579494109,34547.13682746887,0.9996278017207428,61.372645467434396,34561,2880.0
3,-153205.33426103272,-4.433024718201178,0.0,0.0,-153205.33426103272,-4.433024718201178,-22327305.618950717,-646.0447227705647,-153205.33426103272,-4.433024718201178,22327305.618950717,646.0447227705647,33994.96572685242,0.9836506286704981,61.844275339255226,34561,2880.0
4,-147617.6683758821,-4.271344571061403,0.0,0.0,-147617.6683758821,-4.271344571061403,-23046974.828038536,-666.8684846075965,-147617.6683758821,-4.271344571061403,23046974.828038536,666.8684846075965,33800.137108802795,0.9780132265278587,62.648650212667455,34561,2880.0
5,-157647.5313636543,-4.5615605139946265,0.0,0.0,-157647.5313636543,-4.5615605139946265,-22551440.654771302,-652.5301115385215,-157647.5313636543,-4.5615605139946265,22551440.654771302,652.5301115385215,34986.232233047485,1.012333108595124,62.457683516101966,34561,2880.0
6,-161350.5138138641,-4.668706996928938,0.0,0.0,-161350.5138138641,-4.668706996928938,-22315299.548421346,-645.6973248964509,-161350.5138138641,-4.668706996928938,22315299.548421346,645.6973248964509,34194.958550453186,0.9894374580570945,61.25690807557652,34561,2880.0
7,-182281.093250296,-5.274337188955323,0.0,0.0,-182281.093250296,-5.274337188955323,-22491834.236325584,-650.805388782569,-182281.093250296,-5.274337188955323,22491834.236325584,650.805388782569,37565.57994174957,1.086967012203402,63.42409073811521,34561,2880.0
8,-159904.97704201168,-4.626880122743394,0.0,0.0,-159904.97704201168,-4.626880122743394,-22517019.038936295,-651.5341157099622,-159904.97704201168,-4.626880122743394,22517019.038936295,651.5341157099622,34380.01675033569,0.9947921513407318,61.51442377246029,34561,2880.0
9,-158509.1098082129,-4.586490445839494,0.0,0.0,-158509.1098082129,-4.586490445839494,-22711222.05723843,-657.1534160080564,-158509.1098082129,-4.586490445839494,22711222.05723843,657.1534160080564,33920.09023857117,0.981484092551249,62.18280721043952,34561,2880.0
10,-149943.4722627561,-4.338642137232527,0.0,0.0,-149943.4722627561,-4.338642137232527,-22463551.860871233,-649.9870330113204,-149943.4722627561,-4.338642137232527,22463551.860871233,649.9870330113204,33645.28588676453,0.9735325777420292,61.94843899192731,34561,2880.0
