episode_num,cumulative_reward,mean_reward,cumulative_reward_energy_term,mean_reward_energy_term,cumulative_reward_comfort_term,mean_reward_comfort_term,cumulative_abs_energy_penalty,mean_abs_energy_penalty,cumulative_abs_comfort_penalty,mean_abs_comfort_penalty,cumulative_power_demand,mean_power_demand,cumulative_temperature_violation,mean_temperature_violation,comfort_violation_time (%),length (timesteps),time_elapsed (hours)
1,-2125351.7287775036,-61.49744585583054,0.0,0.0,-2125351.7287775036,-61.49744585583054,-21981165.602446765,-636.0290972930198,-2125351.7287775036,-61.49744585583054,21981165.602446765,636.0290972930198,238951.6673002243,6.91411074364075,99.05963369115477,34561,2880.0
2,-3136761.3049372477,-90.76276924008239,0.0,0.0,-3136761.3049372477,-90.76276924008239,-21791385.56982749,-630.5377769047305,-3136761.3049372477,-90.76276924008239,21791385.56982749,630.5377769047305,249214.51632213593,7.211068180617359,98.83973264662481,34561,2880.0
3,-2146815.356263081,-62.11849989187156,0.0,0.0,-2146815.356263081,-62.11849989187156,-22337400.9279951,-646.3368324072657,-2146815.356263081,-62.11849989187156,22337400.9279951,646.3368324072657,233575.6847743988,6.758555693703669,98.34495529643239,34561,2880.0
4,-4503770.385668841,-130.31743014088082,0.0,0.0,-4503770.385668841,-130.31743014088082,-22239358.43084328,-643.4999545961597,-4503770.385668841,-130.31743014088082,22239358.43084328,643.4999545961597,239451.24250221252,6.928566044624205,98.53302855820144,34561,2880.0
5,-2787037.467753044,-80.64344524748391,0.0,0.0,-2787037.467753044,-80.64344524748391,-22076367.913638808,-638.7837937974192,-2787037.467753044,-80.64344524748391,22076367.913638808,638.7837937974192,246242.283080101,7.125066061345516,98.59957755851973,34561,2880.0
6,-2022934.6556035765,-58.5339888774183,0.0,0.0,-2022934.6556035765,-58.5339888774183,-22491868.280446142,-650.8063738555018,-2022934.6556035765,-58.5339888774183,22491868.280446142,650.8063738555018,222375.9666891098,6.434489776883964,98.1597754694598,34561,2880.0
7,-2462288.3340950054,-71.2467689263601,0.0,0.0,-2462288.3340950054,-71.2467689263601,-22304535.480403934,-645.3858645950212,-2462288.3340950054,-71.2467689263601,22304535.480403934,645.3858645950212,231635.95518398285,6.7024292587958,98.10769364312375,34561,2880.0
8,-3641715.189693507,-105.37370340548341,0.0,0.0,-3641715.189693507,-105.37370340548341,-22169004.804682136,-641.4642593947377,-3641715.189693507,-105.37370340548341,22169004.804682136,641.4642593947377,250006.78794765472,7.233992706818713,98.58800381933393,34561,2880.0
9,-1743914.7875461176,-50.46049732482979,0.0,0.0,-1743914.7875461176,-50.46049732482979,-22901162.304923967,-662.6493722489573,-1743914.7875461176,-50.46049732482979,22901162.304923967,662.6493722489573,217290.10339164734,6.287329380545351,98.05561181678772,34561,2880.0
10,-1711009.8668382703,-49.5083873506444,0.0,0.0,-1711009.8668382703,-49.5083873506444,-22792001.674395863,-659.4907891896951,-1711009.8668382703,-49.5083873506444,22792001.674395863,659.4907891896951,218250.527885437,6.315119441129543,98.32759468765371,34561,2880.0
