episode_num,cumulative_reward,mean_reward,cumulative_reward_energy_term,mean_reward_energy_term,cumulative_reward_comfort_term,mean_reward_comfort_term,cumulative_abs_energy_penalty,mean_abs_energy_penalty,cumulative_abs_comfort_penalty,mean_abs_comfort_penalty,cumulative_power_demand,mean_power_demand,cumulative_temperature_violation,mean_temperature_violation,comfort_violation_time (%),length (timesteps),time_elapsed (hours)
1,-230624.53013954387,-6.6731634878340245,0.0,0.0,-230624.53013954387,-6.6731634878340245,-22333506.193824634,-646.2241375527962,-230624.53013954387,-6.6731634878340245,22333506.193824634,646.2241375527962,59024.050842285156,1.7078718415013066,84.86444257978647,34561,2880.0
2,-232640.1918301277,-6.731487032121751,0.0,0.0,-232640.1918301277,-6.731487032121751,-22451925.55148109,-649.6506235960964,-232640.1918301277,-6.731487032121751,22451925.55148109,649.6506235960964,59121.38192272186,1.710688134338017,84.971499667255,34561,2880.0
3,-235269.99061714642,-6.807580747023913,0.0,0.0,-235269.99061714642,-6.807580747023913,-22321529.399426617,-645.8775867889645,-235269.99061714642,-6.807580747023913,22321529.399426617,645.8775867889645,60248.530113220215,1.7433023759612332,85.80191545383525,34561,2880.0
4,-237671.95647263085,-6.877082073860846,0.0,0.0,-237671.95647263085,-6.877082073860846,-22632030.098099276,-654.8619820051874,-237671.95647263085,-6.877082073860846,22632030.098099276,654.8619820051874,61199.686495780945,1.7708242620306986,84.7921067098753,34561,2880.0
5,-229064.74893316734,-6.628030929779148,0.0,0.0,-229064.74893316734,-6.628030929779148,-22920805.25904003,-663.2177447638898,-229064.74893316734,-6.628030929779148,22920805.25904003,663.2177447638898,58287.918570518494,1.6865717178969473,85.33028558201441,34561,2880.0
6,-227229.46966916512,-6.574926784408713,0.0,0.0,-227229.46966916512,-6.574926784408713,-22350823.913725697,-646.7252289851185,-227229.46966916512,-6.574926784408713,22350823.913725697,646.7252289851185,57556.274797439575,1.665401469833321,85.99866901999363,34561,2880.0
7,-260433.51961015016,-7.535692118349252,0.0,0.0,-260433.51961015016,-7.535692118349252,-22274198.3287094,-644.5080534927489,-260433.51961015016,-7.535692118349252,22274198.3287094,644.5080534927489,62845.06326293945,1.8184335434878314,83.97905153207373,34561,2880.0
8,-239361.56135796377,-6.925971104107748,0.0,0.0,-239361.56135796377,-6.925971104107748,-22633735.44375261,-654.9113264974714,-239361.56135796377,-6.925971104107748,22633735.44375261,654.9113264974714,59989.07557487488,1.735795010847074,86.77410954544139,34561,2880.0
9,-245319.98256177903,-7.098379125051476,0.0,0.0,-245319.98256177903,-7.098379125051476,-22450267.608348817,-649.6026507045375,-245319.98256177903,-7.098379125051476,22450267.608348817,649.6026507045375,60947.26531982422,1.7635204085597285,84.30311622927577,34561,2880.0
10,-225121.8574246707,-6.513942633815703,0.0,0.0,-225121.8574246707,-6.513942633815703,-22357804.859715655,-646.9272239501058,-225121.8574246707,-6.513942633815703,22357804.859715655,646.9272239501058,58383.54685020447,1.6893387398786015,85.69196493157027,34561,2880.0
